,Industry
GICHSGFIN.NS,Finance
GILLANDERS.NS,Diversified
GILLETTE.NS,FMCG
GINNIFILA.NS,Textiles
GIPCL.NS,Power
GLAXO.NS,Pharmaceuticals
GLENMARK.NS,Pharmaceuticals
GLOBALVECT.NS,Misc
GLOBUSSPR.NS,Beverages
GMBREW.NS,Beverages
GMDCLTD.NS,Mining
GMRINFRA.NS,Infrastructure
GNFC.NS,Fertilisers
GOACARBON.NS,Petrochem
GODFRYPHLP.NS,Cigarettes
GODREJCP.NS,FMCG
GODREJIND.NS,Chemicals
GODREJPROP.NS,Construction
GOKEX.NS,Construction
GOKUL.NS,Edible Oils
GOLDIAM.NS,Jewellery
GPIL.NS,Steel
GPPL.NS,Shipping
GRANULES.NS,Pharmaceuticals
GRAPHITE.NS,Electronics
GRASIM.NS,Diversified
GRAVITA.NS,Metals
GREAVESCOT.NS,Engines
GREENPLY.NS,Consumer Goods
GREENPOWER.NS,Power
GRINDWELL.NS,Grinding Wheels
GSCLCEMENT.NS,Cement
GSFC.NS,Fertilisers
GSPL.NS,Petrochem
GSS.NS,Computers
GTL.NS,Telecom
GTLINFRA.NS,Telecom
GUFICBIO.NS,Pharmaceuticals
GUJALKALI.NS,Chemicals
GUJAPOLLO.NS,Engineering
GULFOILLUB.NS,Chemicals
GULFPETRO.NS,Chemicals
GVKPIL.NS,Power
HARRMALAYA.NS,Tea-Coffee
HATSUN.NS,Food Processing
HAVELLS.NS,Electric
HBLPOWER.NS,Electric
HCC.NS,Construction
HCLTECH.NS,Computers
HDFCBANK.NS,Banks - Private
HEG.NS,Electronics
HEIDELBERG.NS,Cement
HERCULES.NS,Engineering
HERITGFOOD.NS,Food Processing
HEROMOTOCO.NS,Auto
HEXAWARE.NS,Computers
HFCL.NS,Telecom
HGS.NS,Computers
HIKAL.NS,Pharmaceuticals
HIL.NS,Cement
HILTON.NS,Auto Ancl
HIMATSEIDE.NS,Textiles
HINDALCO.NS,Aluminium
HINDCOMPOS.NS,Auto Ancl
HINDCOPPER.NS,Metals
HINDMOTORS.NS,Auto
HINDOILEXP.NS,Oil Drilling
HINDPETRO.NS,Refineries
HINDUNILVR.NS,FMCG
HINDZINC.NS,Metals
HIRECT.NS,Electronics
HITECHGEAR.NS,Auto Ancl
HLVLTD.NS,Auto Ancl
HMVL.NS,Printing
HONAUT.NS,Misc
HONDAPOWER.NS,Electric
HOVS.NS,Computers
HSCL.NS,
HSIL.NS,Ceramics
HUBTOWN.NS,Construction
IBREALEST.NS,Construction
IBULHSGFIN.NS,Finance
IBVENTURES.NS,Finance
ICICIBANK.NS,Banks - Private
ICIL.NS,Textiles
ICRA.NS,Misc
IDBI.NS,Banks - PSU
IDEA.NS,Telecom
IDFC.NS,Finance
IFBAGRO.NS,Chemicals
IFBIND.NS,Consumer Goods
IFCI.NS,Finance
IGARASHI.NS,Electric
IGL.NS,Gas
IGPL.NS,Chemicals
IIFL.NS,Finance
IMFA.NS,Mining
IMPAL.NS,Auto Ancl
INDBANK.NS,Finance
INDHOTEL.NS,Hotels
INDIACEM.NS,Cement
INDIAGLYCO.NS,Chemicals
INDIANB.NS,Banks - PSU
INDIANHUME.NS,Cement
INDLMETER.NS,Electric
INDNIPPON.NS,Auto Ancl
INDOCO.NS,Pharmaceuticals
INDORAMA.NS,Textiles
INDOTECH.NS,Power
INDOWIND.NS,Power
INDRAMEDCO.NS,Medical
INDSWFTLAB.NS,Pharmaceuticals
INDTERRAIN.NS,Textiles
INDUSINDBK.NS,Banks - Private
INEOSSTYRO.NS,
INFRATEL.NS,Transmisson Line Towers / Equipment
INFY.NS,Computers
INGERRAND.NS,Compressors
INOXLEISUR.NS,Entertainment
INSECTICID.NS,Agro
INTELLECT.NS,Computers
IOB.NS,Banks - PSU
IOC.NS,Refineries
IOLCP.NS,Chemicals
IPCALAB.NS,Pharmaceuticals
IRB.NS,Construction
ISFT.NS,Computers
ITC.NS,Cigarettes
ITDCEM.NS,Construction
ITI.NS,Telecom
IZMO.NS,Computers
JAGRAN.NS,Printing
JAGSNPHARM.NS,Pharmaceuticals
JAIBALAJI.NS,Steel
JAICORPLTD.NS,Steel
JAMNAAUTO.NS,Auto Ancl
JAYAGROGN.NS,Chemicals
JAYBARMARU.NS,Auto Ancl
JAYSREETEA.NS,Tea-Coffee
JBCHEPHARM.NS,Pharmaceuticals
JBFIND.NS,Textiles
JBMA.NS,Auto Ancl
JCHAC.NS,
JINDALPHOT.NS,Transport
JINDALPOLY.NS,Packaging
JINDALSAW.NS,Steel
JINDALSTEL.NS,Steel
JINDRILL.NS,Oil Drilling
JISLDVREQS.NS,Plastics
JISLJALEQS.NS,Misc
JKCEMENT.NS,Cement
JKLAKSHMI.NS,Cement
JKPAPER.NS,Paper
JKTYRE.NS,Auto Ancl
JMCPROJECT.NS,Construction
JMFINANCIL.NS,Finance
JMTAUTOLTD.NS,Auto Ancl
JOCIL.NS,Chemicals
JPASSOCIAT.NS,Construction
JPINFRATEC.NS,Construction
JPOLYINVST.NS,Finance
JPPOWER.NS,Power
JSL.NS,Steel
JSWENERGY.NS,Power
JSWHL.NS,Finance
JSWSTEEL.NS,Steel
JTEKTINDIA.NS,Steel
JUBILANT.NS,Pharmaceuticals
JUBLFOOD.NS,Food Processing
JUBLINDS.NS,Agro
JUSTDIAL.NS,Misc
JYOTHYLAB.NS,FMCG
KABRAEXTRU.NS,Engineering
KAJARIACER.NS,Ceramics
KAKATCEM.NS,Cement
KALPATPOWR.NS,Power
KAMATHOTEL.NS,Hotels
KAMDHENU.NS,
KANANIIND.NS,Jewellery
KANORICHEM.NS,Chemicals
KANSAINER.NS,Paints
KARMAENG.NS,Power
KARURVYSYA.NS,Banks - Private
KCP.NS,Cement
KCPSUGIND.NS,Sugar
KEC.NS,Power
KECL.NS,Electric
KEI.NS,Cables
KESORAMIND.NS,Diversified
KEYFINSERV.NS,Finance
KHANDSE.NS,Finance
KICL.NS,Finance
KIRIINDUS.NS,Dyes
KIRLOSBROS.NS,Misc
KIRLOSENG.NS,Engines
KIRLOSIND.NS,Engines
KITEX.NS,Textiles
KMSUGAR.NS,Sugar
KNRCON.NS,Construction
KOKUYOCMLN.NS,Printing
KOLTEPATIL.NS,Construction
KOPRAN.NS,Pharmaceuticals
KOTAKBANK.NS,Banks - Private
KOTARISUG.NS,Sugar
KOTHARIPET.NS,Trading
KOTHARIPRO.NS,Misc
KPRMILL.NS,Textiles
KRBL.NS,Commodities
KSB.NS,Commodities
KSCL.NS,Misc
KSK.NS,Misc
KSL.NS,Steel
KTKBANK.NS,Banks - Private
KWALITY.NS,Food Processing
L&TFH.NS,Finance
LAKSHVILAS.NS,Banks - Private
LAOPALA.NS,Glass
LAXMIMACH.NS,Textiles
LGBBROSLTD.NS,Engineering
LGBFORGE.NS,Engineering
LIBERTSHOE.NS,Leather
LICHSGFIN.NS,Finance
LINDEINDIA.NS,Chemicals
LOKESHMACH.NS,Misc
LOTUSEYE.NS,Medical
LOVABLE.NS,Textiles
LT.NS,Diversified
