,Industry
ZENITHEXPO.NS,
ZENSARTECH.NS,
ZODIACLOTH.NS,Textiles
ZODJRDMKJ.NS,Jewellery
ZUARI.NS,
ZUARIGLOB.NS,
ZYDUSWELL.NS,Misc
20MICRONS.NS,Mining
3IINFOTECH.NS,Computers
3MINDIA.NS,Diversified
3PLAND.NS,Diversified
63MOONS.NS,
A2ZINFRA.NS,Engineering
AARTIDRUGS.NS,Pharmaceuticals
AARTIIND.NS,Chemicals
AARVEEDEN.NS,Textiles
ABAN.NS,Oil Drilling
ABBOTINDIA.NS,Pharmaceuticals
ABFRL.NS,Textiles
ACC.NS,Cement
ACCELYA.NS,Computers
ACE.NS,Engineering
ADANIENT.NS,Trading
ADANIPORTS.NS,Misc
ADANIPOWER.NS,Power
ADFFOODS.NS,Food Processing
ADORWELD.NS,Misc
ADSL.NS,Misc
ADVANIHOTR.NS,Hotels
AEGISCHEM.NS,Misc
AGARIND.NS,Misc
AGCNET.NS,Telecom
AGRITECH.NS,Misc
AHLEAST.NS,Hotels
AHLUCONT.NS,Construction
AHLWEST.NS,Hotels
AIAENG.NS,Engineering
AJANTPHARM.NS,Pharmaceuticals
AJMERA.NS,Construction
AKSHOPTFBR.NS,Cables
AKZOINDIA.NS,Paints
ALCHEM.NS,Diversified
ALEMBICLTD.NS,Pharmaceuticals
ALICON.NS,Auto Ancl
ALKALI.NS,Metals
ALKYLAMINE.NS,Chemicals
ALLCARGO.NS,Transport
ALLSEC.NS,Computers
ALMONDZ.NS,Finance
ALPA.NS,Textiles
ALPHAGEO.NS,Oil Drilling
ALPSINDUS.NS,Textiles
AMARAJABAT.NS,Auto Ancl
AMBIKCO.NS,Textiles
AMBUJACEM.NS,Cement
AMDIND.NS,Packaging
AMJLAND.NS,Packaging
ANANTRAJ.NS,Construction
ANDHRACEMT.NS,Banks - PSU
ANDHRSUGAR.NS,Sugar
ANIKINDS.NS,Diversified
ANSALAPI.NS,Construction
ANSALHSG.NS,Construction
APARINDS.NS,Electric
APCOTEXIND.NS,Misc
APLAPOLLO.NS,Steel
APLLTD.NS,Pharmaceuticals
APOLLOHOSP.NS,Medical
APOLLOTYRE.NS,Auto Ancl
APTECHT.NS,Computers
ARCHIDPLY.NS,Consumer Goods
ARCHIES.NS,Printing
ARIES.NS,Fertilisers
ARIHANT.NS,Fertilisers
AROGRANITE.NS,Misc
ARSSINFRA.NS,Construction
ARVIND.NS,Textiles
ASAHIINDIA.NS,Glass
ASAHISONG.NS,Dyes
ASAL.NS,Auto Ancl
ASHAPURMIN.NS,Mining
ASHIANA.NS,Construction
ASHOKA.NS,Construction
ASHOKLEY.NS,Auto
ASIANHOTNR.NS,Hotels
ASIANPAINT.NS,Paints
ASIANTILES.NS,Ceramics
ASTEC.NS,Agro
ASTRAL.NS,Plastics
ASTRAMICRO.NS,Telecom
ASTRAZEN.NS,Pharmaceuticals
ATFL.NS,Edible Oils
ATLANTA.NS,Infrastructure
ATUL.NS,Dyes
ATULAUTO.NS,Auto
AURIONPRO.NS,Computers
AUROPHARMA.NS,Pharmaceuticals
AUSOMENT.NS,Trading
AUTOAXLES.NS,Auto Ancl
AUTOIND.NS,Auto Ancl
AUTOLITIND.NS,Auto Ancl
AVTNPL.NS,Edible Oils
AXISBANK.NS,Banks - Private
